objectid,pghdb_sde_zoning_area,perimeter,zoning,zoning_id,zon_new,shape_leng,correctionlabel,full_zoning_type,legendtype,municode,status,globalid,created_user,created_date,last_edited_user,last_edited_date,shape_area,shape_length
36,98684.11604892,1503.78484377,38,38,RM-M,1503.78484377,,MULTI-UNIT RESIDENTIAL MODERATE DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,b952d138-2f7e-41eb-a524-fe33ed1ad1c8,,,,,98684.1159973145,1503.78484375782
37,348565.45480283,2864.8516391,39,39,P,2864.8516391,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,64dcd7dd-383f-400f-9ed8-24774f1efe9a,,,,,348565.454803467,2864.85163911506
38,267988.08634823,2899.32575931,40,40,H,2899.32575931,,HILLSIDE,Hillside  ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.02HHIDI,Approved,e009f8a4-e57f-4fa9-838b-a76c659e09b2,,,,,267988.086303711,2899.32575929695
39,157775.90165857,1601.58757544,41,41,LNC,1601.58757544,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved,0228ccb6-84cb-452a-bda9-540c1293affe,,,,,157775.901672363,1601.5875754483
40,168206.12058072,1922.04253556,51,51,RM-H,1922.04253556,,MULTI-UNIT RESIDENTIAL HIGH DENSITY,Multi-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,c23636a7-b1ed-4596-ab7c-ec63e5a13241,,,,,168206.120574951,1922.04253558983
41,933236.08794315,5240.18277729,52,52,P,5240.18277729,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,fcd55c6f-d435-40d5-bae2-fe6c4ba4cf8b,,,,,933236.088043213,5240.18277731852
42,450092.68115533,3346.57300303,73,73,UI,3346.57300303,,URBAN INDUSTRIAL,Urban Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.07UI*,Approved,99addd58-51b6-4504-abf5-ae6d9a0cbb97,,,,,450092.681152344,3346.57300299887
43,13417111.4391139,51737.93160504,42,42,P,51737.931605,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved,e52188d0-81aa-4eb0-b919-6bcf0c1883f0,,,,,13417111.4390564,51737.9316050756
44,348682.14804936,2732.90012804,43,43,R2-L,2732.90012804,,TWO-UNIT RESIDENTIAL LOW DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved,571b2403-e059-450e-94fc-a81d62a479b9,,,,,348682.148101807,2732.90012806053
45,1186909.40861252,8320.59669531,44,44,UI,8320.59669531,,URBAN INDUSTRIAL,Urban Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.07UI*,Approved,0ec6810c-f37b-4f6a-ab07-7c081840f162,,,,,1186909.40856934,8320.59669539317
